sample_id,category,review_priority,explanation,ground_truth_san,ground_truth_posformer,san_prediction,posformer_prediction,san_correct_gt_san,san_correct_gt_posformer,posformer_correct_gt_san,posformer_correct_gt_posformer,favors_san_annotation,favors_posformer_annotation,affects_model_correctness,token_count_san,token_count_posformer,sequence_similarity,replace_blocks,insert_blocks,delete_blocks,edit_details
RIT_2014_235,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow c } f ( x ),\lim \limits _ { x \rightarrow c } f ( x ),\lim _ { x \rightarrow c } f ( x ),\lim \limits _ { x \rightarrow c } f ( x ),True,False,False,True,True,True,True,11,12,0.9565,0,1,0,insert: [] -> [\limits]
RIT_2014_295,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { y \rightarrow x } f ( x ),\lim \limits _ { y \rightarrow x } f ( x ),\lim _ { y \rightarrow x } f ( x ),\lim \limits _ { y \rightarrow x } f ( x ),True,False,False,True,True,True,True,11,12,0.9565,0,1,0,insert: [] -> [\limits]
500_em_110,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,x = \sum _ { i } x _ { i },x = \sum \limits _ { i } x _ { i },x = \sum _ { i } x _ { i },x = \sum \limits _ { i } x _ { i },True,False,False,True,True,True,True,12,13,0.9600,0,1,0,insert: [] -> [\limits]
519_em_462,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { r = 1 } ^ { n } r,\sum \limits _ { r = 1 } ^ { n } r,\sum _ { v = 1 } ^ { n } r,\sum \limits _ { \gamma = 1 } ^ { n } r,False,False,False,False,False,False,False,12,13,0.9600,0,1,0,insert: [] -> [\limits]
RIT_2014_129,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\int _ { 2 } ^ { b } f d \alpha,\int \limits _ { 2 } ^ { b } f d \alpha,\int _ { 2 } ^ { b } f d \alpha,\int \limits _ { a } ^ { b } f d \alpha,True,False,False,False,True,False,True,12,13,0.9600,0,1,0,insert: [] -> [\limits]
35_em_18,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\pi \int _ { 0 } ^ { 1 } x d x,\pi \int \limits _ { 0 } ^ { 1 } x d x,\pi \int _ { 0 },\pi \int \limits _ { 0 } ^ { x d x,False,False,False,False,False,False,False,13,14,0.9630,0,1,0,insert: [] -> [\limits]
37_em_14,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow 0 } f ( x ) = 0,\lim \limits _ { x \rightarrow 0 } f ( x ) = 0,\lim _ { x \rightarrow 0 } f ( x ) = 0,\lim \limits _ { x \rightarrow 0 } f ( x ) = 0,True,False,False,True,True,True,True,13,14,0.9630,0,1,0,insert: [] -> [\limits]
512_em_290,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",2 \sum _ { x = 1 } ^ { n } x - \sum _ { x = 1 } ^ { n } 1,2 \sum \limits _ { x = 1 } ^ { n } x - \sum \limits _ { x = 1 } ^ { n } 1,2 \sum _ { x = 1 } ^ { n } x - \sum _ { x = 1 } ^ { n } 1,2 \sum \limits _ { x = 1 } ^ { n } x - \sum \limits _ { X = 1 } ^ { n } 1,True,False,False,False,True,False,True,26,28,0.9630,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_184,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { b \rightarrow \infty } f ( b ) = 0,\lim \limits _ { b \rightarrow \infty } f ( b ) = 0,\lim _ { b \rightarrow \infty } f ( 6 ) = 0,\lim \limits _ { b \rightarrow \infty } f ( 6 ) = 0,False,False,False,False,False,False,False,13,14,0.9630,0,1,0,insert: [] -> [\limits]
RIT_2014_2,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow c } f ( x ) = L,\lim \limits _ { x \rightarrow c } f ( x ) = L,\lim _ { x \rightarrow c } f ( x ) = L,\lim \limits _ { x \rightarrow c } f ( x ) = L,True,False,False,True,True,True,True,13,14,0.9630,0,1,0,insert: [] -> [\limits]
RIT_2014_200,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { n \rightarrow \infty } y _ { n } = 0,\lim \limits _ { n \rightarrow \infty } y _ { n } = 0,\lim _ { n \rightarrow \infty } y _ { n } = 0,\lim \limits _ { n \rightarrow \infty } y _ { n } = 0,True,False,False,True,True,True,True,14,15,0.9655,0,1,0,insert: [] -> [\limits]
RIT_2014_21,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { i = 1 } ^ { n + 1 } i,\sum \limits _ { i = 1 } ^ { n + 1 } i,\sum _ { i = 1 } ^ { n + 1 } i,\sum \limits _ { i = 1 } ^ { n + 1 } i,True,False,False,True,True,True,True,14,15,0.9655,0,1,0,insert: [] -> [\limits]
31_em_192,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\int _ { a } ^ { x } f ( x ) d x,\int \limits _ { a } ^ { x } f ( x ) d x,\int _ { a } ^ { x } f ( x ) d x,\int \limits _ { a } ^ { x } f ( x ) d x,True,False,False,True,True,True,True,15,16,0.9677,0,1,0,insert: [] -> [\limits]
503_em_26,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { z \rightarrow z _ { 0 } } f ( z ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ),\lim _ { z \rightarrow z _ { 0 } } f ( z ),\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ),True,False,False,True,True,True,True,15,16,0.9677,0,1,0,insert: [] -> [\limits]
RIT_2014_66,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { k = 1 } ^ { n } a _ { k } = \sum _ { i = 1 } ^ { n } a = \sum _ { j = 1 } ^ { n } a _ { j },\sum \limits _ { k = 1 } ^ { n } a _ { k } = \sum \limits _ { i = 1 } ^ { n } a = \sum \limits _ { j = 1 } ^ { n } a _ { j },\sum _ { k = 1 } ^ { n } a _ { k } = \sum _ { i = 1 } ^ { n } a _ { i } = \sum _ { j = 1 } ^ { n } a _ { j },\sum \limits _ { k = 1 } ^ { n } a _ { k } = \sum \limits _ { i = 1 } ^ { n } a _ { i } = \sum \limits _ { j = 1 } ^ { n } a _ { j },False,False,False,False,False,False,False,46,49,0.9684,0,3,0,insert: [] -> [\limits] | insert: [] -> [\limits] | insert: [] -> [\limits]
37_em_26,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\int _ { a } ^ { b } f ( x ) d x = \int _ { a } ^ { b } g ( x ) d x,\int \limits _ { a } ^ { b } f ( x ) d x = \int \limits _ { a } ^ { b } g ( x ) d x,\int _ { a } ^ { b } f ( ) d x = \int _ { a } ^ { b } g ( x ) d x,\int \limits _ { a } ^ { b } f ( x ) d x = \int \limits _ { a } ^ { b } g ( x ) d x,False,False,False,True,False,True,True,31,33,0.9688,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
18_em_5,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g z,\int g = \lim \limits _ { n \rightarrow \infty } \int q _ { n },False,False,False,False,False,False,False,16,17,0.9697,0,1,0,insert: [] -> [\limits]
31_em_175,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim \limits _ { x \rightarrow c } f ( x ) = f ( c ),\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim \limits _ { x \rightarrow c } f ( x ) = f ( c ),True,False,False,True,True,True,True,16,17,0.9697,0,1,0,insert: [] -> [\limits]
511_em_258,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { i = 1 } ^ { n } a _ { i },\sum \limits _ { i = 1 } ^ { n } a _ { i },\sum _ { i = 1 } ^ { n } a _ { i },\sum \limits _ { i = 1 } ^ { n } a _ { i },True,False,False,True,True,True,True,16,17,0.9697,0,1,0,insert: [] -> [\limits]
RIT_2014_15,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { n = 1 } ^ { \infty } x _ { n },\sum \limits _ { n = 1 } ^ { \infty } x _ { n },\sum _ { n = 1 } ^ { \infty } x _ { n },\sum \limits _ { n = 1 } ^ { \infty } x _ { n },True,False,False,True,True,True,True,16,17,0.9697,0,1,0,insert: [] -> [\limits]
RIT_2014_91,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { r = 1 } ^ { n } r ^ { 3 },\sum \limits _ { r = 1 } ^ { n } r ^ { 3 },\sum _ { r = 1 } ^ { n } r ^ { 3 },\sum \limits _ { r = 1 } ^ { n } r ^ { 3 },True,False,False,True,True,True,True,16,17,0.9697,0,1,0,insert: [] -> [\limits]
23_em_72,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },True,False,False,True,True,True,True,33,35,0.9706,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
502_em_7,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { k = 1 } ^ { n } a _ { k } + \sum _ { k = 1 } ^ { n } b _ { k },\sum \limits _ { k = 1 } ^ { n } a _ { k } + \sum \limits _ { k = 1 } ^ { n } b _ { k },\sum _ { k = 1 } ^ { n } a _ { k } + \sum _ { k = 1 } ^ { n } b _ { k },\sum \limits _ { k = 1 } ^ { n } a _ { k } + \sum \limits _ { k = 1 } ^ { n } b _ { k },True,False,False,True,True,True,True,33,35,0.9706,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_290,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { k = 1 } ^ { N } a _ { n } \leq \sum _ { k = 1 } ^ { N } b _ { n } \leq \sum _ { n = 1 } ^ { \infty } b _ { n },\sum \limits _ { k = 1 } ^ { N } a _ { n } \leq \sum \limits _ { k = 1 } ^ { N } b _ { n } \leq \sum \limits _ { n = 1 } ^ { \infty } b _ { n },\sum _ { k = 1 } ^ { N } a _ { n } \leq \sum _ { k = 1 } ^ { N } b _ { n } \leq \sum _ { k = 1 } ^ { \infty } b _ { n },\sum \limits _ { k = 1 } ^ { N } a _ { n } \leq \sum \limits _ { k = 1 } ^ { N } b _ { n } \leq \sum \limits _ { i = 1 } ^ { \infty } b _ { n },False,False,False,False,False,False,False,50,53,0.9709,0,3,0,insert: [] -> [\limits] | insert: [] -> [\limits] | insert: [] -> [\limits]
35_em_8,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = k,\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = k,\lim _ { z \rightarrow z _ { 0 } } f ( z ) = k,\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = k,True,False,False,True,True,True,True,17,18,0.9714,0,1,0,insert: [] -> [\limits]
36_em_26,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { n = 1 } ^ { 5 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 5 } ( 2 n + 1 ),\sum _ { n = 1 } ^ { 5 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 5 } ( 2 n + 1 ),True,False,False,True,True,True,True,17,18,0.9714,0,1,0,insert: [] -> [\limits]
506_em_67,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\lim _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum _ { i = 1 } ^ { n } i ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum \limits _ { i = 1 } ^ { n } i ^ { 2 },\lim _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum _ { i = 1 } ^ { n } i ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 8 } { n ^ { 3 } } \sum \limits _ { i = 1 } ^ { n } i ^ { 2 },True,False,False,True,True,True,True,34,36,0.9714,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
509_em_92,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,\lim \limits _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,\lim _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,\lim \limits _ { x \rightarrow \infty } p _ { k } ( x ) = \infty,True,False,False,True,True,True,True,17,18,0.9714,0,1,0,insert: [] -> [\limits]
516_em_379,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { n \rightarrow \infty } f _ { n } ( x ) = 0,\lim \limits _ { n \rightarrow \infty } f _ { n } ( x ) = 0,\lim _ { n \rightarrow \infty } f _ { n } ( x ) = 0,\lim \limits _ { n \rightarrow \infty } f _ { n } ( x ) = 0,True,False,False,True,True,True,True,17,18,0.9714,0,1,0,insert: [] -> [\limits]
RIT_2014_183,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,\lim _ { x \rightarrow \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { X \rightarrow \infty } p _ { 2 } ( X ) > 0,True,False,False,False,True,False,True,17,18,0.9714,0,1,0,insert: [] -> [\limits]
23_em_59,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },\sum \limits _ { r = 1 } ^ { n } a r ^ { b } = a \sum \limits _ { r = 1 } ^ { n } r ^ { b },\sum _ { \gamma = 1 } ^ { n } a ^ { b } = a \sum _ { r = 1 } ^ { n } \gamma ^ { b },\sum \limits _ { \gamma = 1 } ^ { n } a ^ { b } = a \sum \limits _ { \gamma = 1 } ^ { n } \gamma ^ { b },False,False,False,False,False,False,False,35,37,0.9722,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
31_em_198,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,\lim _ { x \rightarrow - \alpha } p _ { 2 } ( a ) > 0,\lim \limits _ { x \rightarrow - \alpha } p _ { 2 } ( a ) > 0,False,False,False,False,False,False,False,18,19,0.9730,0,1,0,insert: [] -> [\limits]
514_em_334,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum _ { n = 1 } ^ { 4 } ( 2 n + 1 ),\sum \limits _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum \limits _ { n = 1 } ^ { 4 } ( 2 n + 1 ),\sum _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum _ { n = 1 } ^ { 4 } ( z _ { n + 1 } + 1 ),\sum \limits _ { n = 1 } ^ { 1 0 } ( 2 n + 1 ) - \sum \limits _ { n = 1 } ^ { 4 } ( 2 n + 1 ),False,False,False,True,False,True,True,36,38,0.9730,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_158,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },\sum \limits _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },\sum _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },\sum \limits _ { i = 1 } ^ { \infty } \frac { 1 } { 2 },True,False,False,True,True,True,True,18,19,0.9730,0,1,0,insert: [] -> [\limits]
RIT_2014_193,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,E _ { t o t } = \sum _ { n } E _ { n },E _ { t o t } = \sum \limits _ { n } E _ { n },E _ { t k k } = \sum _ { n } E _ { n },E _ { t o k } = \sum \limits _ { n } E _ { n },False,False,False,False,False,False,False,18,19,0.9730,0,1,0,insert: [] -> [\limits]
518_em_426,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\pi \int _ { - R } ^ { R } R ^ { 2 } d x - \pi \int _ { - R } ^ { R } x ^ { 2 } d x,\pi \int \limits _ { - R } ^ { R } R ^ { 2 } d x - \pi \int \limits _ { - R } ^ { R } x ^ { 2 } d x,\pi \int _ { R } ^ { R } R ^ { 2 } d x - \pi \int _ { R } ^ { R } x ^ { 2 } d x,\pi \int \limits _ { - R } ^ { R } R ^ { 2 } d x - \pi \int \limits _ { - R } ^ { R } x ^ { 2 } d x,False,False,False,True,False,True,True,37,39,0.9737,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
32_em_201,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum _ { i = 1 } ^ { n } ( a _ { k } ),\sum \limits _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum \limits _ { i = 1 } ^ { n } ( a _ { k } ),\sum _ { n = 1 } ^ { n } ( ( a _ { n } ) = \sum _ { i = 1 } ^ { n } ( a _ { i } ),\sum \limits _ { k = 1 } ^ { n } ( ( a _ { k } ) = \sum \limits _ { i = 1 } ^ { n } ( a _ { i } ),False,False,False,False,False,False,False,39,41,0.9750,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_211,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } ( \frac { 2 } { n } ) ^ { 2 },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } ( \frac { 2 i } { n } ) ^ { 2 },False,False,False,True,False,True,True,39,41,0.9750,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_304,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0,\lim \limits _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0,\lim _ { x \rightarrow - \infty } p _ { k + 1 } ( x ) < 0,\lim \limits _ { x \rightarrow - \infty } p _ { k + 1 } ( x ) < 0,False,False,False,False,False,False,False,20,21,0.9756,0,1,0,insert: [] -> [\limits]
RIT_2014_94,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },\sum \limits _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },\sum _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },\sum \limits _ { n = 1 } ^ { \infty } \frac { \cos \pi 1 } { n },True,False,False,False,True,False,True,20,21,0.9756,0,1,0,insert: [] -> [\limits]
37_em_24,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\lim _ { n \rightarrow \infty } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },\lim _ { n \rightarrow \alpha } \frac { 2 } { n } \sum _ { i = 1 } ^ { n } \frac { 4 } { n ^ { 2 } },\lim \limits _ { n \rightarrow \infty } \frac { 2 } { n } \sum \limits _ { i = 1 } ^ { n } \frac { 4 i ^ { 2 } } { n ^ { 2 } },False,False,False,True,False,True,True,41,43,0.9762,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
RIT_2014_312,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\sum _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum _ { i = 1 } ^ { n } 1 = n a ^ { 2 },\sum \limits _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum \limits _ { i = 1 } ^ { n } 1 = n a ^ { 2 },\sum _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum _ { i = 1 } ^ { n } 1 = n a ^ { 2 },\sum \limits _ { i = 1 } ^ { n } a ^ { 2 } = a ^ { 2 } \sum \limits _ { i = 1 } ^ { n } 1 = n a ^ { 2 },True,False,False,True,True,True,True,41,43,0.9762,0,2,0,insert: [] -> [\limits] | insert: [] -> [\limits]
29_em_171,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim \limits _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim \limits _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },True,False,False,True,True,True,True,21,22,0.9767,0,1,0,insert: [] -> [\limits]
31_em_191,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { j = 1 } ^ { m } a _ { j } e _ { j },\sum \limits _ { j = 1 } ^ { m } a _ { j } e _ { j },\sum _ { j = 1 } ^ { m } a _ { j } e j,\sum \limits _ { j = 1 } ^ { m } a _ { j } e _ { j },False,False,False,True,False,True,True,21,22,0.9767,0,1,0,insert: [] -> [\limits]
