id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
2009213-137-145,identical,38x54,38x54,true,8,8
MfrDB2387,identical,139x84,139x84,true,( a ) ^ { - 1 } - 1,( a ) ^ { - 1 } - 1
MfrDB0225,identical,145x65,145x65,true,1 + 1 = 2,1 + 1 = 2
2009213-139-16,identical,35x54,35x54,true,y,y
formulaire015-equation027,identical,253x84,253x84,true,"u ( \theta _ { 0 } , p ) = 0","u ( \theta _ { 0 } , p ) = 0"
formulaire021-equation032,identical,585x90,585x90,true,"a _ { i , j } = a _ { i - 1 , j + 1 }","a _ { i , j } = a _ { i - 1 , j + 1 }"
formulaire028-equation044,identical,156x68,156x68,true,d ^ { 3 } u,d ^ { 3 } u
2009212-952-29,identical,34x70,34x70,true,j,j
200924-1331-158,identical,48x54,48x54,true,t,t
formulaire017-equation016,identical,358x114,358x114,true,y = \frac { - 1 - 4 x } { 2 },y = \frac { - 1 - 4 x } { 2 }
200923-1254-52,identical,102x68,102x68,true,6 . 4,6 . 4
MfrDB2094,identical,333x78,333x78,true,( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0,( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
2009212-952-30,identical,413x174,413x174,true,\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a },\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_27_sub_81,identical,259x104,259x104,true,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire025-equation051,identical,97x78,97x78,true,e ^ { ( k ) },e ^ { ( k ) }
MfrDB0055,identical,482x131,482x131,true,\frac { 1 } { 2 } + \frac { 2 } { 3 } + \frac { 3 } { 4 } + \frac { 4 } { 5 } + \frac { 5 } { 6 },\frac { 1 } { 2 } + \frac { 2 } { 3 } + \frac { 3 } { 4 } + \frac { 4 } { 5 } + \frac { 5 } { 6 }
formulaire030-equation033,identical,113x99,113x99,true,\int d x,\int d x
formulaire014-equation037,identical,1340x177,1340x177,true,\frac { 1 } { 1 + x } = 1 - x + x ^ { 2 } - x ^ { 3 } + \ldots + ( - 1 ) ^ { n } x ^ { n } + o ( x ^ { n } ),\frac { 1 } { 1 + x } = 1 - x + x ^ { 2 } - x ^ { 3 } + \ldots + ( - 1 ) ^ { n } x ^ { n } + o ( x ^ { n } )
formulaire010-equation074,identical,349x90,349x90,true,"( p _ { 1 } , q _ { 1 } ) \leq ( p _ { 2 } , q _ { 2 } )","( p _ { 1 } , q _ { 1 } ) \leq ( p _ { 2 } , q _ { 2 } )"
2009212-1031-39,identical,121x64,121x64,true,i ( [ 0 ] ),i ( [ 0 ] )
MfrDB1405,identical,218x92,218x92,true,\frac { 1 } { 2 } x = 1 0,\frac { 1 } { 2 } x = 1 0
2009212-1031-50,identical,172x150,172x150,true,\frac { [ t ] } { \sum P },\frac { [ t ] } { \sum P }
200924-1331-22,identical,95x61,95x61,true,8 . 3,8 . 3
200923-131-309,identical,39x54,39x54,true,f,f
MfrDB1934,identical,208x146,208x146,true,\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | },\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
2009213-139-150,identical,214x100,214x100,true,z ^ { \cdots - h },z ^ { \cdots - h }
formulaire023-equation074,identical,794x102,794x102,true,"x = 1 0 + 0 , 7","x = 1 0 + 0 , 7"
formulaire003-equation038,identical,526x116,526x116,true,x ^ { 5 } + d x ^ { 2 } + e x + f,x ^ { 5 } + d x ^ { 2 } + e x + f
MfrDB1994,identical,236x150,236x150,true,"\sum _ { m = 0 } ^ { M } \sum _ { n = 0 } ^ { N } a _ { m , n }","\sum _ { m = 0 } ^ { M } \sum _ { n = 0 } ^ { N } a _ { m , n }"
formulaire020-equation036,identical,91x77,91x77,true,2 ^ { 6 0 },2 ^ { 6 0 }
2009213-139-135,identical,42x54,42x54,true,S,S
200924-1312-150,identical,122x60,122x60,true,\cdots - [ F ],\cdots - [ F ]
formulaire007-equation023,identical,209x93,209x93,true,8 y _ { i + 1 },8 y _ { i + 1 }
200924-1331-220,identical,48x54,48x54,true,t,t
formulaire004-equation026,identical,199x74,199x74,true,3 n - 5,3 n - 5
200924-1331-253,identical,193x93,193x93,true,\sum G + j,\sum G + j
200922-1017-18,identical,416x133,416x133,true,a ^ { x } + b ^ { x } + \frac { c } { 2 },a ^ { x } + b ^ { x } + \frac { c } { 2 }
200923-1254-202,identical,74x69,74x69,true,y i,y i
formulaire003-equation030,identical,691x76,691x76,true,1 8 6 \pm 6 + 9 8 + 1 7 6 + 9 2,1 8 6 \pm 6 + 9 8 + 1 7 6 + 9 2
MfrDB0987,identical,181x75,181x75,true,X = 1 + 4,X = 1 + 4
2009213-137-61,identical,417x78,417x78,true,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
MfrDB2300,identical,176x118,176x118,true,\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } },\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
formulaire013-equation051,identical,202x77,202x77,true,k \leq 4,k \leq 4
2009213-139-95,identical,110x89,110x89,true,\gamma ^ { \sqrt { v } },\gamma ^ { \sqrt { v } }
formulaire028-equation073,identical,873x107,873x107,true,f = d ^ { 5 } a _ { 4 } + 5 b d ^ { 4 } a _ { 5 } = - 3 2,f = d ^ { 5 } a _ { 4 } + 5 b d ^ { 4 } a _ { 5 } = - 3 2
2009213-139-116,identical,174x69,174x69,true,M + [ H ],M + [ H ]
formulaire018-equation018,identical,174x72,174x72,true,z - 2,z - 2
2009210-947-40,identical,80x57,80x57,true,7 2,7 2
200922-1017-102,identical,57x54,57x54,true,z,z
200924-1331-21,identical,43x54,43x54,true,d,d
formulaire033-equation067,identical,188x91,188x91,true,2 m g l,2 m g l
200923-1553-271,identical,78x72,78x72,true,\sqrt { Y },\sqrt { Y }
200926-1550-150,identical,89x76,89x76,true,\sqrt { p _ { z } },\sqrt { p _ { z } }
MfrDB1099,identical,249x68,249x68,true,3 + 1 = 4,3 + 1 = 4
2009213-139-101,identical,229x65,229x65,true,k - a = h - f,k - a = h - f
formulaire036-equation057,identical,142x94,142x94,true,"a , b , c","a , b , c"
2009212-1031-63,identical,41x54,41x54,true,9,9
formulaire002-equation033,identical,104x75,104x75,true,f ( x _ { \theta } ),f ( x _ { \theta } )
formulaire019-equation023,identical,350x101,350x101,true,( \frac { 1 } { 2 } a ) + \sqrt { ( \frac { 1 } { 4 } a a ) + ( b b ) },( \frac { 1 } { 2 } a ) + \sqrt { ( \frac { 1 } { 4 } a a ) + ( b b ) }
2009213-137-211,identical,64x65,64x65,true,u _ { \theta },u _ { \theta }
KME1G3_4_sub_22,identical,456x126,456x126,true,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt { \pi } } { 2 },\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt { \pi } } { 2 }
200923-131-30,identical,409x154,409x154,true,\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a },\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire006-equation025,identical,628x76,628x76,true,1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 ),1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 )
200923-1556-88,identical,84x69,84x69,true,[ y ],[ y ]
formulaire003-equation044,identical,388x80,388x80,true,h = l + m + n,h = l + m + n
200926-1617-228,identical,154x66,154x66,true,3 3 . 5,3 3 . 5
formulaire015-equation028,identical,369x76,369x76,true,X ^ { 3 } - X ^ { 2 } - 2 X + 1 = 0,X ^ { 3 } - X ^ { 2 } - 2 X + 1 = 0
MfrDB1777,identical,214x67,214x67,true,V = a \cdot b \cdot c,V = a \cdot b \cdot c
200923-131-202,identical,103x76,103x76,true,F l _ { X },F l _ { X }
200923-131-29,identical,43x54,43x54,true,8,8
formulaire002-equation043,identical,240x140,240x140,true,y = \frac { 1 } { Y },y = \frac { 1 } { Y }
MfrDB3048,identical,429x128,429x128,true,\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim _ { x \rightarrow c } f ( x ) = f ( c )
200922-1017-24,identical,330x110,330x110,true,\int e ^ { - z ^ { 2 } } d z = e r f ( z ),\int e ^ { - z ^ { 2 } } d z = e r f ( z )
200923-1553-262,identical,244x194,244x194,true,x ^ { \frac { T } { g _ { E E } } },x ^ { \frac { T } { g _ { E E } } }
formulaire021-equation050,identical,993x84,993x84,true,( ( 1 2 6 \times 1 3 0 ) \times 1 6 2 ) \div ( 1 6 8 - 1 6 1 - 3 2 ) \neq - 1 1 5 4 2,( ( 1 2 6 \times 1 3 0 ) \times 1 6 2 ) \div ( 1 6 8 - 1 6 1 - 3 2 ) \neq - 1 1 5 4 2
2009213-139-105,identical,442x98,442x98,true,j - o - 6 = 5 . 4,j - o - 6 = 5 . 4
200923-131-233,identical,47x54,47x54,true,N,N
200926-1550-30,identical,342x142,342x142,true,\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a },\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
2009210-947-82,identical,115x86,115x86,true,N Y _ { I },N Y _ { I }
2009212-1031-37,identical,88x149,88x149,true,\frac { R } { ( p ) },\frac { R } { ( p ) }
formulaire022-equation062,identical,532x94,532x94,true,u ( x - x _ { 0 } ) + v ( y - y _ { 0 } ) = 0,u ( x - x _ { 0 } ) + v ( y - y _ { 0 } ) = 0
formulaire025-equation050,identical,1195x95,1195x95,true,( ( 8 \div 1 3 0 ) \div ( 1 9 0 \times 1 2 ) ) \times ( ( 8 6 + 1 4 7 ) - ( 8 4 \div 0 ) ) \neq 2 1 4 7 4 8 3 6 4 7,( ( 8 \div 1 3 0 ) \div ( 1 9 0 \times 1 2 ) ) \times ( ( 8 6 + 1 4 7 ) - ( 8 4 \div 0 ) ) \neq 2 1 4 7 4 8 3 6 4 7
formulaire033-equation039,identical,221x80,221x80,true,"p - 1 , p","p - 1 , p"
formulaire008-equation005,identical,622x80,622x80,true,2 0 + ( 9 6 \div 9 2 ) = 2 1 . 0 4,2 0 + ( 9 6 \div 9 2 ) = 2 1 . 0 4
200922-947-83,identical,208x121,208x121,true,\int ^ { H } _ { \sigma - n } 4 d g _ { j },\int ^ { H } _ { \sigma - n } 4 d g _ { j }
MfrDB2883,identical,306x173,306x173,true,\int \limits _ { 0 } ^ { + \infty } x ^ { n } e ^ { - x } d x = n !,\int \limits _ { 0 } ^ { + \infty } x ^ { n } e ^ { - x } d x = n !
200923-1253-255,identical,117x54,117x54,true,- o,- o
200926-1617-78,identical,321x349,321x349,true,\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } },\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire029-equation055,identical,475x68,475x68,true,3 6 \times 1 3 7 = 4 9 3 2,3 6 \times 1 3 7 = 4 9 3 2
129_Nina,identical,622x151,622x151,true,1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 },1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire030-equation004,identical,462x89,462x89,true,f ( y ) - f ( x ) = \int _ { x } ^ { y } g ( t ) d t,f ( y ) - f ( x ) = \int _ { x } ^ { y } g ( t ) d t
65_daniel,identical,415x77,415x77,true,x = r \cos \theta,x = r \cos \theta
200923-1254-326,identical,268x110,268x110,true,T ^ { c + L } ( m ),T ^ { c + L } ( m )
MfrDB2429,identical,290x95,290x95,true,s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 },s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
200926-1617-72,identical,274x100,274x100,true,\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } },\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
MfrDB1899,identical,247x84,247x84,true,( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0,( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB1629,identical,161x105,161x105,true,\sqrt [ 8 ] { \frac { x - 5 } { 3 - y } },\sqrt [ 8 ] { \frac { x - 5 } { 3 - y } }
MfrDB1301,identical,621x153,621x153,true,\sin \frac { \pi } { 4 } = \cos \frac { \pi } { 4 } = \frac { \sqrt { 2 } } { 2 },\sin \frac { \pi } { 4 } = \cos \frac { \pi } { 4 } = \frac { \sqrt { 2 } } { 2 }
200926-1550-38,identical,205x141,205x141,true,\frac { 4 } { 3 } \pi r ^ { 3 },\frac { 4 } { 3 } \pi r ^ { 3 }
formulaire025-equation024,identical,1015x89,1015x89,true,1 - \cos ^ { 2 } x = ( 1 - \cos x ) ( 1 + \cos x ),1 - \cos ^ { 2 } x = ( 1 - \cos x ) ( 1 + \cos x )
2009210-947-72,identical,278x94,278x94,true,\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } },\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
MfrDB1657,identical,133x94,133x94,true,y = x ^ { z },y = x ^ { z }
formulaire027-equation039,identical,187x114,187x114,true,n Y _ { 2 } ^ { ( n ) },n Y _ { 2 } ^ { ( n ) }
MfrDB2291,identical,517x151,517x151,true,\frac { 5 x - 7 } { 3 } \leq 2 x + 5,\frac { 5 x - 7 } { 3 } \leq 2 x + 5
2009220-1327-66,identical,560x146,560x146,true,\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta ),\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta )
96_alfonso,identical,582x129,582x129,true,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s
200922-949-166,identical,124x60,124x60,true,- \pi,- \pi
formulaire018-equation064,identical,486x91,486x91,true,1 + \log _ { 3 } ( 2 ),1 + \log _ { 3 } ( 2 )
2009213-137-10,identical,86x88,86x88,true,m ^ { b },m ^ { b }
2009212-1031-55,identical,134x59,134x59,true,7 . 7 R,7 . 7 R
MfrDB1088,identical,303x105,303x105,true,a ^ { 2 } + b ^ { 2 } = c ^ { 2 },a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
formulaire023-equation052,identical,437x79,437x79,true,"d ( p + 1 , 0 ) = 0","d ( p + 1 , 0 ) = 0"
formulaire038-equation009,identical,304x81,304x81,true,f ( s t ) = f ( t s ),f ( s t ) = f ( t s )
118_fujita,identical,384x123,384x123,true,P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j },P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j }
2009210-947-137,identical,140x76,140x76,true,\tan h,\tan h
MfrDB2204,identical,286x84,286x84,true,a x + b < c,a x + b < c
formulaire021-equation054,identical,388x78,388x78,true,x ( t ) = x ( t - 1 ),x ( t ) = x ( t - 1 )
formulaire017-equation013,identical,117x78,117x78,true,y _ { 1 } ( x ),y _ { 1 } ( x )
200923-1253-24,identical,321x98,321x98,true,\int e ^ { - z ^ { 2 } } d z = e r f ( z ),\int e ^ { - z ^ { 2 } } d z = e r f ( z )
formulaire025-equation044,identical,304x105,304x105,true,"( e _ { 1 } , \ldots , e _ { n } )","( e _ { 1 } , \ldots , e _ { n } )"
formulaire030-equation026,identical,72x88,72x88,true,b _ { 1 3 },b _ { 1 3 }
200923-1254-274,identical,162x81,162x81,true,\sum n,\sum n
200925-1126-184,identical,44x54,44x54,true,h,h
200922-947-190,identical,177x79,177x79,true,\int \theta + F d n,\int \theta + F d n
KME2G3_5_sub_35,identical,373x121,373x121,true,\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 },\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB3085,identical,385x165,385x165,true,\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x },\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
MfrDB0079,identical,479x158,479x158,true,\lim _ { x \rightarrow a } \frac { f ( x ) } { g ( x ) } = \lim _ { x \rightarrow a } \frac { f ^ { ' } ( x ) } { g ^ { ' } ( x ) },\lim _ { x \rightarrow a } \frac { f ( x ) } { g ( x ) } = \lim _ { x \rightarrow a } \frac { f ^ { ' } ( x ) } { g ^ { ' } ( x ) }
200926-131-32,identical,498x113,498x113,true,a x ^ { 4 } + b x + c = 0,a x ^ { 4 } + b x + c = 0
200926-1617-163,identical,58x54,58x54,true,\alpha,\alpha
MfrDB1531,identical,218x86,218x86,true,\sqrt { x ^ { 2 } } = | x |,\sqrt { x ^ { 2 } } = | x |
94_Frank,identical,794x162,794x162,true,\frac { a } { \sin A } = \frac { b } { \sin B } = \frac { c } { \sin C },\frac { a } { \sin A } = \frac { b } { \sin B } = \frac { c } { \sin C }
formulaire035-equation006,identical,192x77,192x77,true,( ( - 1 ) ^ { n } n ),( ( - 1 ) ^ { n } n )
formulaire028-equation004,identical,406x97,406x97,true,"g _ { i } ( x , y , z ) = 0","g _ { i } ( x , y , z ) = 0"
MfrDB1289,identical,317x130,317x130,true,\lim _ { n \rightarrow \infty } x _ { n } = L,\lim _ { n \rightarrow \infty } x _ { n } = L
formulaire028-equation051,identical,284x137,284x137,true,a = \frac { y } { x },a = \frac { y } { x }
formulaire022-equation045,identical,473x72,473x72,true,1 8 3 \times 9 9 \geq 1 8 1 1 6,1 8 3 \times 9 9 \geq 1 8 1 1 6
105_lucelia,identical,893x183,893x183,true,\frac { b ^ { 2 } c ^ { 2 } - 4 b ^ { 3 } d - 4 a c ^ { 3 } + 1 8 a b c d - 2 7 a ^ { 2 } d ^ { 2 } } { a ^ { 4 } },\frac { b ^ { 2 } c ^ { 2 } - 4 b ^ { 3 } d - 4 a c ^ { 3 } + 1 8 a b c d - 2 7 a ^ { 2 } d ^ { 2 } } { a ^ { 4 } }
formulaire017-equation043,identical,395x79,395x79,true,a b + n c = 1,a b + n c = 1
200922-1017-65,identical,86x70,86x70,true,c _ { t },c _ { t }
MfrDB2832,identical,189x125,189x125,true,\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | },\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
200923-1556-7,identical,244x93,244x93,true,\sum _ { m } f ( m + 3 ),\sum _ { m } f ( m + 3 )
formulaire004-equation048,identical,234x75,234x75,true,c ( 0 ) = 1,c ( 0 ) = 1
96_bruno,identical,638x135,638x135,true,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s
200924-1331-286,identical,119x79,119x79,true,B + j ^ { A },B + j ^ { A }
2009212-952-115,identical,44x58,44x58,true,H,H
200923-131-276,identical,182x100,182x100,true,( - \int y _ { e } d a ) ^ { i },( - \int y _ { e } d a ) ^ { i }
formulaire034-equation035,identical,366x65,366x65,true,1 1 7 \pm 8 5 \div 1 0 9,1 1 7 \pm 8 5 \div 1 0 9
200923-1254-242,identical,43x54,43x54,true,6,6
200923-1251-135,identical,101x74,101x74,true,\sum E,\sum E
formulaire037-equation038,identical,163x75,163x75,true,2 \times e,2 \times e
200923-1553-281,identical,92x62,92x62,true,( \sqrt { i } ),( \sqrt { i } )
200922-947-220,identical,82x57,82x57,true,0 . 1,0 . 1
126_user0,identical,571x152,571x152,true,| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } },| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } }
200923-1254-198,identical,263x58,263x58,true,\cdots - z - \Delta,\cdots - z - \Delta
KME2G3_6_sub_30,identical,341x220,341x220,true,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
2009213-137-83,identical,143x74,143x74,true,\cdots + q _ { L },\cdots + q _ { L }
formulaire006-equation036,identical,881x90,881x90,true,\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x ),\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x )
MfrDB1231,identical,166x146,166x146,true,\frac { 2 ^ { 5 } } { 3 + 1 },\frac { 2 ^ { 5 } } { 3 + 1 }
2009213-139-85,identical,206x178,206x178,true,\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } },\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
200924-1312-4,identical,84x81,84x81,true,V _ { V },V _ { V }
MfrDB1534,identical,352x113,352x113,true,\sqrt { x } = 1 0 ^ { ( \log x ) / 2 },\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
KME2G3_18_sub_95,identical,280x106,280x106,true,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } },\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
200922-947-135,identical,81x64,81x64,true,( r C ),( r C )
MfrDB1820,identical,155x85,155x85,true,V = a \cdot b \cdot c,V = a \cdot b \cdot c
formulaire025-equation013,identical,630x103,630x103,true,\cos ^ { 2 } \phi + \sin ^ { 2 } \phi = 1,\cos ^ { 2 } \phi + \sin ^ { 2 } \phi = 1
2009213-139-79,identical,294x300,294x300,true,\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } },\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
formulaire021-equation031,identical,88x88,88x88,true,f ^ { ( n ) },f ^ { ( n ) }
2009213-139-56,identical,176x87,176x87,true,2 \alpha + 3 \sqrt { \beta },2 \alpha + 3 \sqrt { \beta }
2009212-1031-0,identical,75x54,75x54,true,- u,- u
200922-947-107,identical,62x65,62x65,true,\sqrt { j },\sqrt { j }
200924-1331-30,identical,354x143,354x143,true,\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a },\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
2009212-1031-87,identical,64x122,64x122,true,\frac { q } { n },\frac { q } { n }
2009212-1031-14,identical,44x58,44x58,true,X,X
200924-1312-241,identical,83x85,83x85,true,X ^ { Y },X ^ { Y }
MfrDB2856,identical,302x103,302x103,true,( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } ),( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
KME2G3_11_sub_81,identical,291x121,291x121,true,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
2009213-139-138,identical,81x72,81x72,true,[ \frac { h } { E } ],[ \frac { h } { E } ]
96_rosario,identical,441x116,441x116,true,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s,y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s
KME1G3_11_sub_21,identical,403x144,403x144,true,A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b },A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b }
2009213-139-13,identical,267x99,267x99,true,\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } },\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire007-equation048,identical,346x99,346x99,true,y _ { 1 } + y _ { 3 } = \sqrt { z _ { 2 } },y _ { 1 } + y _ { 3 } = \sqrt { z _ { 2 } }
200926-1550-73,identical,134x135,134x135,true,a ^ { b ^ { c ^ { d } } },a ^ { b ^ { c ^ { d } } }
